fecha,producto,dia_semana,mes,ventas
2024-01-01,Pan francés,0,1,39
2024-01-01,Pan dulce,0,1,24
2024-01-01,Galletas,0,1,14
2024-01-01,Pastel,0,1,10
2024-01-02,Pan francés,1,1,39
2024-01-02,Pan dulce,1,1,21
2024-01-02,Galletas,1,1,15
2024-01-02,Pastel,1,1,9
2024-01-03,Pan francés,2,1,39
2024-01-03,Pan dulce,2,1,25
2024-01-03,Galletas,2,1,15
2024-01-03,Pastel,2,1,11
2024-01-04,Pan francés,3,1,42
2024-01-04,Pan dulce,3,1,25
2024-01-04,Galletas,3,1,13
2024-01-04,Pastel,3,1,8
2024-01-05,Pan francés,4,1,61
2024-01-05,Pan dulce,4,1,42
2024-01-05,Galletas,4,1,22
2024-01-05,Pastel,4,1,14
2024-01-06,Pan francés,5,1,63
2024-01-06,Pan dulce,5,1,32
2024-01-06,Galletas,5,1,21
2024-01-06,Pastel,5,1,15
2024-01-07,Pan francés,6,1,34
2024-01-07,Pan dulce,6,1,19
2024-01-07,Galletas,6,1,12
2024-01-07,Pastel,6,1,8
2024-01-08,Pan francés,0,1,43
2024-01-08,Pan dulce,0,1,22
2024-01-08,Galletas,0,1,15
2024-01-08,Pastel,0,1,8
2024-01-09,Pan francés,1,1,29
2024-01-09,Pan dulce,1,1,23
2024-01-09,Galletas,1,1,13
2024-01-09,Pastel,1,1,10
2024-01-10,Pan francés,2,1,42
2024-01-10,Pan dulce,2,1,21
2024-01-10,Galletas,2,1,16
2024-01-10,Pastel,2,1,8
2024-01-11,Pan francés,3,1,39
2024-01-11,Pan dulce,3,1,24
2024-01-11,Galletas,3,1,15
2024-01-11,Pastel,3,1,10
2024-01-12,Pan francés,4,1,63
2024-01-12,Pan dulce,4,1,38
2024-01-12,Galletas,4,1,23
2024-01-12,Pastel,4,1,15
2024-01-13,Pan francés,5,1,56
2024-01-13,Pan dulce,5,1,34
2024-01-13,Galletas,5,1,21
2024-01-13,Pastel,5,1,15
2024-01-14,Pan francés,6,1,31
2024-01-14,Pan dulce,6,1,24
2024-01-14,Galletas,6,1,11
2024-01-14,Pastel,6,1,7
2024-01-15,Pan francés,0,1,43
2024-01-15,Pan dulce,0,1,28
2024-01-15,Galletas,0,1,15
2024-01-15,Pastel,0,1,10
2024-01-16,Pan francés,1,1,45
2024-01-16,Pan dulce,1,1,24
2024-01-16,Galletas,1,1,12
2024-01-16,Pastel,1,1,9
2024-01-17,Pan francés,2,1,43
2024-01-17,Pan dulce,2,1,21
2024-01-17,Galletas,2,1,15
2024-01-17,Pastel,2,1,10
2024-01-18,Pan francés,3,1,38
2024-01-18,Pan dulce,3,1,26
2024-01-18,Galletas,3,1,15
2024-01-18,Pastel,3,1,12
2024-01-19,Pan francés,4,1,63
2024-01-19,Pan dulce,4,1,35
2024-01-19,Galletas,4,1,21
2024-01-19,Pastel,4,1,13
2024-01-20,Pan francés,5,1,65
2024-01-20,Pan dulce,5,1,35
2024-01-20,Galletas,5,1,22
2024-01-20,Pastel,5,1,16
2024-01-21,Pan francés,6,1,29
2024-01-21,Pan dulce,6,1,19
